Eisean	Pron:Pers:3P:Sg:Masc:Emph	eisean
a	Part:Vb:Rel:Direct	a
thug	Verb:VTI:PastInd:Len	tabhair
chuig	Prep:Simp	chuig
an	Art:Sg:Def	an
mbád	Noun:Masc:Com:Sg:Ecl	bád
mé	Pron:Pers:1P:Sg	mé
arú	Adv:Gn	arú
aréir	Adv:Temp	aréir
.	Punct:Fin	.
'	Punct:Quo	'
Ansin	Adv:Loc	ansin
thóg	Verb:PastInd:Len	tóg
sé	Pron:Pers:3P:Sg:Masc:Sbj	sé
amach	Adv:Dir	amach
a	Det:Poss:3P:Sg:Masc	a
uirlisí	Noun:Fem:Com:Pl	uirlis
obráide	Noun:Fem:Gen:Sg	obráid
agus	Conj:Coord	agus
leag	Verb:PastInd:Len	leag
ar	Prep:Simp	ar
a	Det:Poss:3P:Sg:Masc	a
chóngar	Noun:Masc:Com:Sg:Len	cóngar
iad	Pron:Pers:3P:Pl	iad
;	Punct:Int	;
agus	Conj:Coord	agus
ba	Cop:Past	is
é	Pron:Pers:3P:Sg:Masc	é
an	Art:Sg:Def	an
rud	Noun:Masc:Com:Sg:Def	rud
deireanach	Adj:Masc:Com:Sg	deireanach
a	Part:Vb:Rel:Direct	a
tharraing	Verb:PastInd:Len	tarraing
sé	Pron:Pers:3P:Sg:Masc:Sbj	sé
amach	Adv:Dir	amach
,	Punct:Int	,
staic	Noun:Fem:Com:Sg	staic
chruinn	Adj:Fem:Com:Sg	cruinn
adhmaid	Noun:Masc:Gen:Sg	adhmad
a	Part:Vb:Rel:Direct	a
bhí	Verb:PastInd:Len	bí
idir	Prep:Simp	idir
dhá	Num:Card	dó
orlach	Noun:Masc:Com:Sg	orlach
go	Prep:Simp	go
leith	Noun:Fem:Com:Sg	leith
agus	Conj:Coord	agus
trí	Num:Card	trí
ar	Prep:Simp	ar
tiús	Noun:Masc:Com:Sg	tiús
,	Punct:Int	,
agus	Conj:Coord	agus
timpeall	Adv:Dir	timpeall
trí	Num:Card	trí
throigh	Noun:Fem:Com:Sg:Len	troigh
ar	Prep:Simp	ar
fad	Noun:Masc:Com:Sg	fad
.	Punct:Fin	.
'	Punct:Quo	'
Tá	Verb:PresInd	bí
an	Art:Sg:Def	an
tOrdú	Noun:Masc:Com:Sg:DefArt	ordú
dá	Conj:Subord	dá
dtagraítear	Verb:VTI:PresInd:Auto:Ecl	tagair
thuas	Adv:Dir	thuas
déanta	Verbal:Adj	déanta
ag	Prep:Simp	ag
Noel	Prop:Noun:Masc:Com:Sg	Noel
Tracy	Prop:Noun:Masc:Com:Sg	Tracy
,	Punct:Int	,
An	Art:Sg:Def	an
tAire	Noun:Masc:Com:Sg:DefArt	aire
Stáit	Noun:Masc:Gen:Sg	stát
sa	Prep:Art:Sg	i
Roinn	Noun:Fem:Com:Sg:DefArt	roinn
Fiontar	Noun:Masc:Gen:Weak:Pl	fiontar
,	Punct:Int	,
Trádála	Noun:Fem:Gen:Sg	trádáil
agus	Conj:Coord	agus
Fostaíochta	Noun:Fem:Gen:Sg	fostaíocht
i	Prep:Simp	i
bhfeidhmiú	Verbal:Noun:VTI:Ecl	feidhmiú
na	Art:Pl:Def	na
gcumhachtaí	Noun:Fem:Gen:Strong:Pl:DefArt	cumhacht
a	Part:Vb:Rel:Indirect	a
dtugtar	Verb:VTI:PresInd:Auto:Ecl	tabhair
dó	Pron:Prep:3P:Sg:Masc	do
faoi	Prep:Simp	faoi
alt	Noun:Masc:Com:Sg	alt
3	Num:Dig	3
(3)	Item	(3)
d'	Prep:Simp	de
Acht	Noun:Masc:Com:Sg	acht
na	Art:Pl:Def	na
gCuideachtaí	Prop:Noun:Masc:Com:Sg:Ecl	Cuideachtaí
,	Punct:Int	,
1990	Num:Dig	1990
(	Punct	(
Uimh.	Abr	uimhir
33	Num:Dig	33
de	Prep:Simp	de
1990	Num:Dig	1990
)	Punct	)
arna	Prep:Poss	ar
oiriúnú	Verbal:Noun:VT	oiriúnú
ag	Prep:Simp	ag
an	Art:Sg:Def	an
Ordú	Noun:Masc:Com:Sg	ordú
Fiontar	Noun:Masc:Com:Sg	fiontar
agus	Conj:Coord	agus
Fostaíochta	Noun:Fem:Gen:Sg	fostaíocht
(	Punct	(
Athrú	Verbal:Noun:VTI	athrú
ar	Prep:Simp	ar
Ainm	Noun:Masc:Com:Sg	ainm
na	Art:Gen:Sg:Def:Fem	na
Roinne	Noun:Fem:Gen:Weak:Pl	roinn
agus	Conj:Coord	agus
ar	Prep:Simp	ar
Theideal	Noun:Masc:Com:Sg:Len	teideal
an	Art:Sg:Def	an
Aire	Noun:Masc:Gen:Sg	aire
)	Punct	)
,	Punct:Int	,
1997	Num:Dig	1997
(	Punct	(
I.R.	Abr	I.R.
Uimh.	Abr	uimhir
305	Num:Dig	305
de	Prep:Simp	de
1997	Num:Dig	1997
)	Punct	)
,	Punct:Int	,
agus	Conj:Coord	agus
ag	Prep:Simp	ag
an	Art:Sg:Def	an
Ordú	Noun:Masc:Com:Sg:DefArt	ordú
Fiontar	Noun:Masc:Gen:Weak:Pl	fiontar
,	Punct:Int	,
Trádála	Noun:Fem:Gen:Sg	trádáil
agus	Conj:Coord	agus
Fostaíochta	Noun:Fem:Gen:Sg	fostaíocht
(	Punct	(
Tarmligean	Prop:Noun:Masc:Com:Sg	Tarmligean
Feidhmeanna	Noun:Fem:Gen:Strong:Pl	feidhm
Aireachta	Noun:Fem:Gen:Sg	aireacht
)	Punct	)
,	Punct:Int	,
1998	Num:Dig	1998
(	Punct	(
I.R.	Abr	I.R.
Uimh.	Abr	uimhir
265	Num:Dig	265
de	Prep:Simp	de
1998	Num:Dig	1998
)	Punct	)
.	Punct:Fin	.
Sa	Prep:Art:Sg	i
bhliain	Noun:Fem:Com:Sg:DefArt	bliain
sin	Det:Dem	sin
d'	Part:Vb	do
éirigh	Verb:VI:PastInd	éirigh
Feisire	Noun:Masc:Com:Sg	feisire
de	Prep:Simp	de
chuid	Noun:Fem:Com:Sg:Len	cuid
an	Art:Sg:Def	an
Réamannaigh	Prop:Noun:Masc:Com:Sg	Réamannaigh
ag	Prep:Simp	ag
Westminster	Prop:Noun:Masc:Com:Sg	Westminster
C.J.	Abr	C.J.
Dolan	Prop:Noun:Masc:Com:Sg	Dolan
as	Prep:Simp	as
a	Det:Poss:3P:Sg:Masc	a
shuíochán	Noun:Masc:Com:Sg:Len	suíochán
i	Prep:Simp	i
Liatroim	Prop:Noun:Masc:Com:Sg	Liatroim
Thuaidh	Adv:Dir:Len	tuaidh
mar	Conj:Subord	mar
go	Part:Vb:Cmpl	go
raibh	Verb:PastInd:Dep:Ecl	bí
sé	Pron:Pers:3P:Sg:Masc:Sbj	sé
tuirseach	Adj:Masc:Com:Sg	tuirseach
de	Prep:Simp	de
mhodh	Noun:Masc:Com:Sg:Len	modh
oibre	Noun:Fem:Gen:Sg	obair
an	Art:Sg:Def	an
Pháirtí	Noun:Masc:Com:Sg:Len	páirtí
Náisiúnta	Adj:Base	náisiúnta
.	Punct:Fin	.
Tá	Verb:VI:PresInd	bí
cáil	Noun:Fem:Com:Sg	cáil
ar	Prep:Simp	ar
leith	Noun:Fem:Com:Sg	leith
air	Pron:Prep:3P:Sg:Masc	ar
féin	Pron:Ref	féin
agus	Conj:Coord	agus
ar	Prep:Simp	ar
a	Det:Poss:3P:Sg:Masc	a
bheirt	Noun:Fem:Com:Sg:Len	beirt
deartháir	Noun:Masc:Gen:Sg	deartháir
mar	Prep:Simp	mar
phíobairí	Noun:Masc:Com:Pl:Len	píobaire
agus	Conj:Coord	agus
measann	Verb:VTI:PresInd	meas
go	Part:Ad	go
leor	Adj:Base	leor
gurb	Cop:Pres:Dep:VF	is
é	Pron:Pers:3P:Sg:Masc	é
an	Art:Sg:Def	an
píobaire	Noun:Masc:Com:Sg:DefArt	píobaire
is	Part:Sup	is
mó	Adj:Comp	mór
in	Prep:Simp	i
Albain	Prop:Noun:Masc:Com:Sg	Albain
é	Pron:Pers:3P:Sg:Masc	é
.	Punct:Fin	.
An	Art:Sg:Def	an
Fhíor-Ghaeltacht	Prop:Noun:Fem:Com:Sg	Fhíor-Ghaeltacht
ab	Cop:Past:Rel:VF	is
ait	Adj:Base	ait
liom	Pron:Prep:1P:Sg	le
a	Part:Inf	a
choinneáil	Verbal:Noun:Len	coinneáil
amhla	Adv:Gn	amhlaidh
.	Punct:Fin	.
'	Punct:Quo	'
Tá	Verb:PresInd	bí
muintir	Noun:Fem:Com:Sg	muintir
Chorcaí	Prop:Noun:Masc:Com:Sg	Chorcaí
an-mhíshásta	Adj:Base:Len	míshásta
le	Prep:Simp	le
Fianna	Prop:Noun:Masc:Com:Sg	Fianna
Fáil	Prop:Noun:Masc:Com:Sg	Fáil
agus	Conj:Coord	agus
le	Prep:Simp	le
Páirtí	Noun:Masc:Com:Sg	páirtí
an	Art:Sg:Def	an
Lucht	Prop:Noun:Masc:Com:Sg	Lucht
Oibre	Prop:Noun:Masc:Com:Sg	Oibre
maidir	Subst:Noun:Sg	maidir
le	Prep:Simp	le
fostaíocht	Noun:Fem:Com:Sg	fostaíocht
a	Part:Inf	a
chur	Verbal:Noun:VTI:Len	cur
ar	Prep:Simp	ar
fáil	Verbal:Noun:VT	fáil
sa	Prep:Art:Sg	i
chathair	Noun:Fem:Com:Sg:DefArt	cathair
sin	Det:Dem	sin
agus	Conj:Coord	agus
maidir	Subst:Noun:Sg	maidir
le	Prep:Simp	le
truailliú	Noun:Masc:Com:Sg	truailliú
i	Prep:Simp	i
gCuan	Prop:Noun:Masc:Com:Sg:Ecl	Cuan
Chorcaí	Prop:Noun:Masc:Com:Sg	Chorcaí
.	Punct:Fin	.
'	Punct:Quo	'
Séard	Prop:Noun:Masc:Com:Sg	Séard
atá	Verb:PresInd:Rel	bí
De	Part:Pat	de
Róiste	Prop:Noun:Masc:Com:Sg	Róiste
a	Part:Inf	a
rá	Verbal:Noun	rá
anois	Adv:Gn	anois
ná	Conj:Subord	ná
gur	Part:Vb:Past	gur
cuireadh	Verb:VTI:PastInd:Auto	cuir
ina	Prep:Poss:3P:Sg:Masc	i
choinne	Noun:Fem:Com:Sg:Len	coinne
go	Part:Vb:Cmpl	go
raibh	Verb:PastInd:Dep:Ecl	bí
baint	Noun:Fem:Com:Sg	baint
aige	Pron:Prep:3P:Sg:Masc	ag
le	Prep:Simp	le
Saor	Noun:Masc:Com:Sg	saor
Éire	Prop:Noun:Fem:Com:Sg	Éire
agus	Conj:Coord	agus
gur	Part:Vb:Past	gur
thug	Verb:VTI:PastInd:Len	tabhair
sin	Pron:Dem	sin
leithscéal	Noun:Masc:Com:Sg	leithscéal
dóibh	Pron:Prep:3P:Pl	do
é	Pron:Pers:3P:Sg:Masc	é
a	Part:Inf	a
bhriseadh	Verbal:Noun:Len	briseadh
.	Punct:Fin	.
Iarmhairt	Noun:Fem:Com:Sg	iarmhairt
an	Art:Sg:Def	an
Chogaidh	Noun:Masc:Gen:Sg:DefArt	cogadh
i	Prep:Simp	i
Murascaill	Noun:Fem:Com:Sg	murascaill
na	Art:Gen:Sg:Def:Fem	na
Peirse	Prop:Noun:Fem:Com:Sg	Peirse
Muireann	Prop:Noun:Fem:Com:Sg	Muireann
Ó	Part:Pat	ó
Briain	Prop:Noun:Masc:Com:Sg	Briain
Cairt	Noun:Fem:Com:Sg	cairt
na	Art:Gen:Sg:Def:Fem	na
Náisiún	Noun:Masc:Gen:Weak:Pl:DefArt	náisiún
Aontaithe	Verbal:Adj	aontaithe
.	Punct:Fin	.
suas	Adv:Dir	suas
san	Prep:Art:Sg	i
aer	Noun:Masc:Com:Sg	aer
.	Punct:Fin	.
Cuirtear	Verb:VTI:PresInd:Auto	cuir
bánéadach	Noun:Masc:Com:Sg	bánéadach
glan	Noun:Masc:Com:Sg	glan
ar	Prep:Simp	ar
an	Art:Sg:Def	an
mbord	Noun:Masc:Com:Sg:Ecl	bord
,	Punct:Int	,
agus	Conj:Coord	agus
leagtar	Verb:VTI:PresInd:Auto	leag
bulóga	Noun:Masc:Com:Pl	óg
sabóideacha	Adj:Com:NotSlen:Pl	sabóideach
air	Pron:Prep:3P:Sg:Masc	ar
.	Punct:Fin	.
Ba	Cop:Past	is
Éireannaigh	Prop:Noun:Masc:Com:Pl	Éireannach
a	Det:Poss:3P:Sg:Masc	a
sheanthuismitheoirí	Noun:Fem:Com:Pl	sheanthuismitheoir
ar	Prep:Simp	ar
thaobh	Noun:Masc:Com:Sg:Len	taobh
a	Det:Poss:3P:Sg:Masc	a
athar	Noun:Masc:Gen:Sg	athair
ach	Conj:Subord	ach
ba	Cop:Past	is
ón	Prep:Art:Sg	ó
Rúis	Prop:Noun:Fem:Com:Sg	Rúis
agus	Conj:Coord	agus
ón	Prep:Art:Sg	ó
Mhongóil	Prop:Noun:Fem:Com:Sg:DefArt	Mongóil
