[06/10/17 17:11:59 INFO] Loading data from '/home/jim/bitext/enga-out-train.t7'...	
[06/10/17 17:12:21 INFO]  * vocabulary size: source = 9991; target = 12816	
[06/10/17 17:12:21 INFO]  * additional features: source = 0; target = 0	
[06/10/17 17:12:21 INFO]  * maximum sequence length: source = 50; target = 51	
[06/10/17 17:12:21 INFO]  * number of training sentences: 336762	
[06/10/17 17:12:21 INFO]  * maximum batch size: 64	
[06/10/17 17:12:21 INFO] Building model...	
[06/10/17 17:12:26 INFO]  * using input feeding	
[06/10/17 17:12:27 INFO] Initializing parameters...	
[06/10/17 17:12:35 INFO]  * number of parameters: 124809016	
[06/10/17 17:12:35 INFO] Preparing memory optimization...	
[06/10/17 17:12:38 INFO]  * sharing 72% of output/gradInput tensors memory between clones	
[06/10/17 17:12:38 INFO] Start training...	
[06/10/17 17:12:38 INFO] 	
[06/10/17 17:37:57 INFO] Epoch 1 ; Iteration 50/5286 ; Learning rate 1.0000 ; Source tokens/s 21 ; Perplexity 664681.80	
[06/10/17 18:06:42 INFO] Epoch 1 ; Iteration 100/5286 ; Learning rate 1.0000 ; Source tokens/s 21 ; Perplexity 10803603.97	
[06/10/17 18:40:49 INFO] Epoch 1 ; Iteration 150/5286 ; Learning rate 1.0000 ; Source tokens/s 20 ; Perplexity 16330281.95	
[06/10/17 19:22:40 INFO] Epoch 1 ; Iteration 200/5286 ; Learning rate 1.0000 ; Source tokens/s 19 ; Perplexity 3154065.27	
[06/10/17 19:54:04 INFO] Epoch 1 ; Iteration 250/5286 ; Learning rate 1.0000 ; Source tokens/s 18 ; Perplexity 1739650.44	
[06/10/17 20:35:36 INFO] Epoch 1 ; Iteration 300/5286 ; Learning rate 1.0000 ; Source tokens/s 17 ; Perplexity 806384.12	
[06/10/17 21:11:51 INFO] Epoch 1 ; Iteration 350/5286 ; Learning rate 1.0000 ; Source tokens/s 16 ; Perplexity 394670.68	
[06/10/17 22:11:14 INFO] Epoch 1 ; Iteration 400/5286 ; Learning rate 1.0000 ; Source tokens/s 16 ; Perplexity 201098.63	
[06/10/17 23:21:35 INFO] Epoch 1 ; Iteration 450/5286 ; Learning rate 1.0000 ; Source tokens/s 15 ; Perplexity 114854.89	
[06/11/17 00:34:51 INFO] Epoch 1 ; Iteration 500/5286 ; Learning rate 1.0000 ; Source tokens/s 14 ; Perplexity 72915.63	
[06/11/17 01:13:10 INFO] Epoch 1 ; Iteration 550/5286 ; Learning rate 1.0000 ; Source tokens/s 14 ; Perplexity 53360.09	
[06/11/17 02:30:37 INFO] Epoch 1 ; Iteration 600/5286 ; Learning rate 1.0000 ; Source tokens/s 13 ; Perplexity 38698.45	
[06/11/17 03:36:22 INFO] Epoch 1 ; Iteration 650/5286 ; Learning rate 1.0000 ; Source tokens/s 13 ; Perplexity 28696.84	
[06/11/17 04:29:22 INFO] Epoch 1 ; Iteration 700/5286 ; Learning rate 1.0000 ; Source tokens/s 12 ; Perplexity 22757.68	
[06/11/17 05:51:18 INFO] Epoch 1 ; Iteration 750/5286 ; Learning rate 1.0000 ; Source tokens/s 12 ; Perplexity 18169.12	
[06/11/17 07:02:37 INFO] Epoch 1 ; Iteration 800/5286 ; Learning rate 1.0000 ; Source tokens/s 12 ; Perplexity 15030.20	
[06/11/17 07:52:16 INFO] Epoch 1 ; Iteration 850/5286 ; Learning rate 1.0000 ; Source tokens/s 12 ; Perplexity 12981.83	
[06/11/17 08:47:56 INFO] Epoch 1 ; Iteration 900/5286 ; Learning rate 1.0000 ; Source tokens/s 11 ; Perplexity 11271.10	
[06/11/17 10:08:24 INFO] Epoch 1 ; Iteration 950/5286 ; Learning rate 1.0000 ; Source tokens/s 11 ; Perplexity 9788.30	
[06/11/17 11:46:26 INFO] Epoch 1 ; Iteration 1000/5286 ; Learning rate 1.0000 ; Source tokens/s 11 ; Perplexity 8625.86	
[06/11/17 12:46:43 INFO] Epoch 1 ; Iteration 1050/5286 ; Learning rate 1.0000 ; Source tokens/s 11 ; Perplexity 7786.08	
[06/11/17 13:43:33 INFO] Epoch 1 ; Iteration 1100/5286 ; Learning rate 1.0000 ; Source tokens/s 11 ; Perplexity 6957.07	
[06/11/17 15:02:08 INFO] Epoch 1 ; Iteration 1150/5286 ; Learning rate 1.0000 ; Source tokens/s 10 ; Perplexity 6238.65	
[06/11/17 16:34:14 INFO] Epoch 1 ; Iteration 1200/5286 ; Learning rate 1.0000 ; Source tokens/s 10 ; Perplexity 5645.97	
[06/11/17 17:18:25 INFO] Epoch 1 ; Iteration 1250/5286 ; Learning rate 1.0000 ; Source tokens/s 10 ; Perplexity 5199.68	
[06/11/17 18:50:14 INFO] Epoch 1 ; Iteration 1300/5286 ; Learning rate 1.0000 ; Source tokens/s 10 ; Perplexity 4750.24	
[06/11/17 19:36:45 INFO] Epoch 1 ; Iteration 1350/5286 ; Learning rate 1.0000 ; Source tokens/s 10 ; Perplexity 4440.35	
